S.N,Device,PM 2.5,Calibrated PM 2.5,Date Time
1,AQM Budhanilkantha,7,5.92,07/31/17 11:53 PM
2,AQM Budhanilkantha,7,5.92,07/31/17 11:43 PM
3,AQM Budhanilkantha,6,5.21,07/31/17 11:33 PM
4,AQM Budhanilkantha,8,6.62,07/31/17 11:23 PM
5,AQM Budhanilkantha,9,7.32,07/31/17 11:13 PM
6,AQM Budhanilkantha,10,8.03,07/31/17 11:03 PM
7,AQM Budhanilkantha,10,8.03,07/31/17 10:53 PM
8,AQM Budhanilkantha,7,5.92,07/31/17 10:43 PM
9,AQM Budhanilkantha,8,6.62,07/31/17 10:33 PM
10,AQM Budhanilkantha,9,7.32,07/31/17 10:23 PM
11,AQM Budhanilkantha,10,8.03,07/31/17 10:13 PM
12,AQM Budhanilkantha,8,6.62,07/31/17 10:03 PM
13,AQM Budhanilkantha,10,8.03,07/31/17 09:53 PM
14,AQM Budhanilkantha,10,8.03,07/31/17 09:43 PM
15,AQM Budhanilkantha,10,8.03,07/31/17 09:33 PM
16,AQM Budhanilkantha,9,7.32,07/31/17 09:20 PM
17,AQM Budhanilkantha,11,8.73,07/31/17 09:13 PM
18,AQM Budhanilkantha,11,8.73,07/31/17 09:03 PM
19,AQM Budhanilkantha,10,8.03,07/31/17 08:53 PM
20,AQM Budhanilkantha,12,9.44,07/31/17 08:43 PM
21,AQM Budhanilkantha,12,9.44,07/31/17 08:33 PM
22,AQM Budhanilkantha,13,10.14,07/31/17 08:24 PM
23,AQM Budhanilkantha,15,11.55,07/31/17 08:13 PM
24,AQM Budhanilkantha,15,11.55,07/31/17 08:03 PM
25,AQM Budhanilkantha,13,10.14,07/31/17 07:53 PM
26,AQM Budhanilkantha,14,10.85,07/31/17 07:43 PM
27,AQM Budhanilkantha,19,14.37,07/31/17 07:33 PM
28,AQM Budhanilkantha,14,10.85,07/31/17 07:23 PM
29,AQM Budhanilkantha,13,10.14,07/31/17 07:14 PM
30,AQM Budhanilkantha,14,10.85,07/31/17 07:03 PM
31,AQM Budhanilkantha,14,10.85,07/31/17 06:53 PM
32,AQM Budhanilkantha,12,9.44,07/31/17 06:43 PM
33,AQM Budhanilkantha,15,11.55,07/31/17 06:33 PM
34,AQM Budhanilkantha,17,12.96,07/31/17 06:23 PM
35,AQM Budhanilkantha,21,15.78,07/31/17 06:13 PM
36,AQM Budhanilkantha,20,15.07,07/31/17 06:03 PM
37,AQM Budhanilkantha,13,10.14,07/31/17 05:53 PM
38,AQM Budhanilkantha,13,10.14,07/31/17 05:43 PM
39,AQM Budhanilkantha,19,14.37,07/31/17 05:33 PM
40,AQM Budhanilkantha,18,13.66,07/31/17 05:23 PM
41,AQM Budhanilkantha,22,16.48,07/31/17 05:13 PM
42,AQM Budhanilkantha,15,11.55,07/31/17 05:03 PM
43,AQM Budhanilkantha,20,15.07,07/31/17 04:53 PM
44,AQM Budhanilkantha,14,10.85,07/31/17 04:43 PM
45,AQM Budhanilkantha,18,13.66,07/31/17 04:33 PM
46,AQM Budhanilkantha,14,10.85,07/31/17 03:28 PM
47,AQM Budhanilkantha,9,7.32,07/31/17 03:23 PM
48,AQM Budhanilkantha,9,7.32,07/31/17 03:13 PM
49,AQM Budhanilkantha,9,7.32,07/31/17 03:03 PM
50,AQM Budhanilkantha,9,7.32,07/31/17 02:53 PM
51,AQM Budhanilkantha,9,7.32,07/31/17 02:43 PM
52,AQM Budhanilkantha,12,9.44,07/31/17 02:33 PM
53,AQM Budhanilkantha,12,9.44,07/31/17 02:23 PM
54,AQM Budhanilkantha,9,7.32,07/31/17 02:13 PM
55,AQM Budhanilkantha,12,9.44,07/31/17 02:03 PM
56,AQM Budhanilkantha,15,11.55,07/31/17 01:53 PM
57,AQM Budhanilkantha,14,10.85,07/31/17 01:43 PM
58,AQM Budhanilkantha,12,9.44,07/31/17 01:33 PM
59,AQM Budhanilkantha,10,8.03,07/31/17 01:18 PM
60,AQM Budhanilkantha,13,10.14,07/31/17 01:13 PM
61,AQM Budhanilkantha,9,7.32,07/31/17 01:03 PM
62,AQM Budhanilkantha,9,7.32,07/31/17 12:53 PM
63,AQM Budhanilkantha,8,6.62,07/31/17 12:38 PM
64,AQM Budhanilkantha,6,5.21,07/31/17 12:33 PM
65,AQM Budhanilkantha,6,5.21,07/31/17 12:23 PM
66,AQM Budhanilkantha,4,3.8,07/31/17 12:13 PM
67,AQM Budhanilkantha,8,6.62,07/31/17 12:03 PM
68,AQM Budhanilkantha,9,7.32,07/31/17 11:53 AM
69,AQM Budhanilkantha,8,6.62,07/31/17 11:43 AM
70,AQM Budhanilkantha,10,8.03,07/31/17 11:33 AM
71,AQM Budhanilkantha,15,11.55,07/31/17 11:23 AM
72,AQM Budhanilkantha,16,12.25,07/31/17 11:13 AM
73,AQM Budhanilkantha,15,11.55,07/31/17 11:03 AM
74,AQM Budhanilkantha,18,13.66,07/31/17 10:53 AM
75,AQM Budhanilkantha,15,11.55,07/31/17 10:43 AM
76,AQM Budhanilkantha,15,11.55,07/31/17 10:33 AM
77,AQM Budhanilkantha,15,11.55,07/31/17 10:23 AM
78,AQM Budhanilkantha,18,13.66,07/31/17 10:13 AM
79,AQM Budhanilkantha,20,15.07,07/31/17 10:03 AM
80,AQM Budhanilkantha,28,20.7,07/31/17 09:53 AM
81,AQM Budhanilkantha,25,18.59,07/31/17 09:43 AM
82,AQM Budhanilkantha,24,17.89,07/31/17 09:33 AM
83,AQM Budhanilkantha,24,17.89,07/31/17 09:23 AM
84,AQM Budhanilkantha,31,22.82,07/31/17 09:13 AM
85,AQM Budhanilkantha,30,22.11,07/31/17 09:03 AM
86,AQM Budhanilkantha,45,32.68,07/31/17 08:53 AM
87,AQM Budhanilkantha,25,18.59,07/31/17 08:43 AM
88,AQM Budhanilkantha,21,15.78,07/31/17 08:33 AM
89,AQM Budhanilkantha,19,14.37,07/31/17 08:23 AM
90,AQM Budhanilkantha,15,11.55,07/31/17 08:13 AM
91,AQM Budhanilkantha,21,15.78,07/31/17 08:03 AM
92,AQM Budhanilkantha,20,15.07,07/31/17 07:53 AM
93,AQM Budhanilkantha,21,15.78,07/31/17 07:43 AM
94,AQM Budhanilkantha,18,13.66,07/31/17 07:33 AM
95,AQM Budhanilkantha,21,15.78,07/31/17 07:23 AM
96,AQM Budhanilkantha,20,15.07,07/31/17 07:13 AM
97,AQM Budhanilkantha,15,11.55,07/31/17 07:03 AM
98,AQM Budhanilkantha,15,11.55,07/31/17 06:53 AM
99,AQM Budhanilkantha,18,13.66,07/31/17 06:43 AM
100,AQM Budhanilkantha,16,12.25,07/31/17 06:33 AM
101,AQM Budhanilkantha,12,9.44,07/31/17 06:23 AM
102,AQM Budhanilkantha,15,11.55,07/31/17 06:13 AM
103,AQM Budhanilkantha,25,18.59,07/31/17 06:03 AM
104,AQM Budhanilkantha,52,37.6,07/31/17 05:53 AM
105,AQM Budhanilkantha,42,30.56,07/31/17 05:43 AM
106,AQM Budhanilkantha,13,10.14,07/31/17 05:33 AM
107,AQM Budhanilkantha,21,15.78,07/31/17 05:23 AM
108,AQM Budhanilkantha,15,11.55,07/31/17 05:13 AM
109,AQM Budhanilkantha,8,6.62,07/31/17 05:03 AM
110,AQM Budhanilkantha,8,6.62,07/31/17 04:53 AM
111,AQM Budhanilkantha,8,6.62,07/31/17 04:43 AM
112,AQM Budhanilkantha,6,5.21,07/31/17 04:33 AM
113,AQM Budhanilkantha,4,3.8,07/31/17 04:23 AM
114,AQM Budhanilkantha,6,5.21,07/31/17 04:13 AM
