S.N,Device,PM 2.5,Calibrated PM 2.5,Inserted Date
1,AQM Budhanilkantha,37,27.04,2018-11-30 23:51:56 ( Asia/Katmandu)
2,AQM Budhanilkantha,38,27.75,2018-11-30 23:41:56 ( Asia/Katmandu)
3,AQM Budhanilkantha,43,31.27,2018-11-30 23:31:56 ( Asia/Katmandu)
4,AQM Budhanilkantha,39,28.45,2018-11-30 23:21:57 ( Asia/Katmandu)
5,AQM Budhanilkantha,32,23.52,2018-11-30 23:11:56 ( Asia/Katmandu)
6,AQM Budhanilkantha,37,27.04,2018-11-30 23:01:56 ( Asia/Katmandu)
7,AQM Budhanilkantha,43,31.27,2018-11-30 22:52:59 ( Asia/Katmandu)
8,AQM Budhanilkantha,46,33.38,2018-11-30 22:41:56 ( Asia/Katmandu)
9,AQM Budhanilkantha,49,35.49,2018-11-30 22:31:56 ( Asia/Katmandu)
10,AQM Budhanilkantha,54,39.01,2018-11-30 22:21:57 ( Asia/Katmandu)
11,AQM Budhanilkantha,59,42.53,2018-11-30 22:11:57 ( Asia/Katmandu)
12,AQM Budhanilkantha,65,46.76,2018-11-30 22:01:56 ( Asia/Katmandu)
13,AQM Budhanilkantha,67,48.17,2018-11-30 21:51:57 ( Asia/Katmandu)
14,AQM Budhanilkantha,81,58.03,2018-11-30 21:44:59 ( Asia/Katmandu)
15,AQM Budhanilkantha,84,60.14,2018-11-30 21:31:57 ( Asia/Katmandu)
16,AQM Budhanilkantha,91,65.07,2018-11-30 21:21:57 ( Asia/Katmandu)
17,AQM Budhanilkantha,88,62.95,2018-11-30 21:11:57 ( Asia/Katmandu)
18,AQM Budhanilkantha,154,109.43,2018-11-30 21:04:50 ( Asia/Katmandu)
19,AQM Budhanilkantha,130,92.53,2018-11-30 20:51:57 ( Asia/Katmandu)
20,AQM Budhanilkantha,151,107.32,2018-11-30 20:42:44 ( Asia/Katmandu)
21,AQM Budhanilkantha,171,121.4,2018-11-30 20:31:57 ( Asia/Katmandu)
22,AQM Budhanilkantha,189,134.08,2018-11-30 20:24:15 ( Asia/Katmandu)
23,AQM Budhanilkantha,225,159.43,2018-11-30 20:14:29 ( Asia/Katmandu)
24,AQM Budhanilkantha,268,189.71,2018-11-30 20:01:57 ( Asia/Katmandu)
25,AQM Budhanilkantha,320,226.32,2018-11-30 19:51:57 ( Asia/Katmandu)
26,AQM Budhanilkantha,336,237.59,2018-11-30 19:43:40 ( Asia/Katmandu)
27,AQM Budhanilkantha,320,226.32,2018-11-30 19:31:57 ( Asia/Katmandu)
28,AQM Budhanilkantha,267,189,2018-11-30 19:21:57 ( Asia/Katmandu)
29,AQM Budhanilkantha,272,192.52,2018-11-30 19:14:39 ( Asia/Katmandu)
30,AQM Budhanilkantha,262,185.48,2018-11-30 19:01:57 ( Asia/Katmandu)
31,AQM Budhanilkantha,202,143.23,2018-11-30 18:51:57 ( Asia/Katmandu)
32,AQM Budhanilkantha,170,120.7,2018-11-30 18:41:57 ( Asia/Katmandu)
33,AQM Budhanilkantha,159,112.95,2018-11-30 18:31:57 ( Asia/Katmandu)
34,AQM Budhanilkantha,134,95.35,2018-11-30 18:25:04 ( Asia/Katmandu)
35,AQM Budhanilkantha,45,32.68,2018-11-30 18:06:57 ( Asia/Katmandu)
36,AQM Budhanilkantha,46,33.38,2018-11-30 18:01:57 ( Asia/Katmandu)
37,AQM Budhanilkantha,46,33.38,2018-11-30 17:51:57 ( Asia/Katmandu)
38,AQM Budhanilkantha,43,31.27,2018-11-30 17:41:57 ( Asia/Katmandu)
39,AQM Budhanilkantha,47,34.08,2018-11-30 17:31:57 ( Asia/Katmandu)
40,AQM Budhanilkantha,49,35.49,2018-11-30 17:11:57 ( Asia/Katmandu)
41,AQM Budhanilkantha,49,35.49,2018-11-30 17:01:57 ( Asia/Katmandu)
42,AQM Budhanilkantha,49,35.49,2018-11-30 16:51:57 ( Asia/Katmandu)
43,AQM Budhanilkantha,53,38.31,2018-11-30 16:44:25 ( Asia/Katmandu)
44,AQM Budhanilkantha,49,35.49,2018-11-30 16:31:58 ( Asia/Katmandu)
45,AQM Budhanilkantha,37,27.04,2018-11-30 16:21:58 ( Asia/Katmandu)
46,AQM Budhanilkantha,36,26.34,2018-11-30 16:11:58 ( Asia/Katmandu)
47,AQM Budhanilkantha,38,27.75,2018-11-30 16:03:25 ( Asia/Katmandu)
48,AQM Budhanilkantha,44,31.97,2018-11-30 15:51:58 ( Asia/Katmandu)
49,AQM Budhanilkantha,77,55.21,2018-11-30 15:41:58 ( Asia/Katmandu)
50,AQM Budhanilkantha,51,36.9,2018-11-30 15:31:58 ( Asia/Katmandu)
51,AQM Budhanilkantha,67,48.17,2018-11-30 15:21:58 ( Asia/Katmandu)
52,AQM Budhanilkantha,50,36.2,2018-11-30 15:11:58 ( Asia/Katmandu)
53,AQM Budhanilkantha,47,34.08,2018-11-30 15:01:58 ( Asia/Katmandu)
54,AQM Budhanilkantha,56,40.42,2018-11-30 14:51:58 ( Asia/Katmandu)
55,AQM Budhanilkantha,60,43.24,2018-11-30 14:43:28 ( Asia/Katmandu)
56,AQM Budhanilkantha,89,63.66,2018-11-30 14:31:58 ( Asia/Katmandu)
57,AQM Budhanilkantha,160,113.66,2018-11-30 14:21:58 ( Asia/Katmandu)
58,AQM Budhanilkantha,239,169.29,2018-11-30 14:14:31 ( Asia/Katmandu)
59,AQM Budhanilkantha,42,30.56,2018-11-30 14:01:58 ( Asia/Katmandu)
60,AQM Budhanilkantha,51,36.9,2018-11-30 13:51:58 ( Asia/Katmandu)
61,AQM Budhanilkantha,71,50.98,2018-11-30 13:41:58 ( Asia/Katmandu)
62,AQM Budhanilkantha,101,72.11,2018-11-30 13:33:33 ( Asia/Katmandu)
63,AQM Budhanilkantha,130,92.53,2018-11-30 13:21:58 ( Asia/Katmandu)
64,AQM Budhanilkantha,173,122.81,2018-11-30 13:11:58 ( Asia/Katmandu)
65,AQM Budhanilkantha,59,42.53,2018-11-30 13:02:00 ( Asia/Katmandu)
66,AQM Budhanilkantha,79,56.62,2018-11-30 12:52:00 ( Asia/Katmandu)
67,AQM Budhanilkantha,105,74.93,2018-11-30 12:41:58 ( Asia/Katmandu)
68,AQM Budhanilkantha,70,50.28,2018-11-30 12:31:58 ( Asia/Katmandu)
69,AQM Budhanilkantha,70,50.28,2018-11-30 12:21:58 ( Asia/Katmandu)
70,AQM Budhanilkantha,94,67.18,2018-11-30 12:11:58 ( Asia/Katmandu)
71,AQM Budhanilkantha,109,77.74,2018-11-30 12:01:58 ( Asia/Katmandu)
72,AQM Budhanilkantha,123,87.6,2018-11-30 11:51:58 ( Asia/Katmandu)
73,AQM Budhanilkantha,183,129.85,2018-11-30 11:41:58 ( Asia/Katmandu)
74,AQM Budhanilkantha,43,31.27,2018-11-30 11:31:58 ( Asia/Katmandu)
75,AQM Budhanilkantha,43,31.27,2018-11-30 11:21:58 ( Asia/Katmandu)
76,AQM Budhanilkantha,46,33.38,2018-11-30 11:11:58 ( Asia/Katmandu)
77,AQM Budhanilkantha,51,36.9,2018-11-30 11:01:58 ( Asia/Katmandu)
78,AQM Budhanilkantha,51,36.9,2018-11-30 10:51:58 ( Asia/Katmandu)
79,AQM Budhanilkantha,64,46.05,2018-11-30 10:41:58 ( Asia/Katmandu)
80,AQM Budhanilkantha,70,50.28,2018-11-30 10:31:58 ( Asia/Katmandu)
81,AQM Budhanilkantha,82,58.73,2018-11-30 10:21:58 ( Asia/Katmandu)
82,AQM Budhanilkantha,79,56.62,2018-11-30 10:11:58 ( Asia/Katmandu)
83,AQM Budhanilkantha,85,60.84,2018-11-30 10:01:58 ( Asia/Katmandu)
84,AQM Budhanilkantha,92,65.77,2018-11-30 09:51:58 ( Asia/Katmandu)
85,AQM Budhanilkantha,87,62.25,2018-11-30 09:41:58 ( Asia/Katmandu)
86,AQM Budhanilkantha,112,79.86,2018-11-30 09:31:59 ( Asia/Katmandu)
87,AQM Budhanilkantha,122,86.9,2018-11-30 09:21:59 ( Asia/Katmandu)
88,AQM Budhanilkantha,134,95.35,2018-11-30 09:11:59 ( Asia/Katmandu)
89,AQM Budhanilkantha,136,96.76,2018-11-30 09:01:59 ( Asia/Katmandu)
90,AQM Budhanilkantha,145,103.09,2018-11-30 08:51:59 ( Asia/Katmandu)
91,AQM Budhanilkantha,143,101.68,2018-11-30 08:41:59 ( Asia/Katmandu)
92,AQM Budhanilkantha,161,114.36,2018-11-30 08:31:59 ( Asia/Katmandu)
93,AQM Budhanilkantha,149,105.91,2018-11-30 08:21:59 ( Asia/Katmandu)
94,AQM Budhanilkantha,139,98.87,2018-11-30 08:13:33 ( Asia/Katmandu)
95,AQM Budhanilkantha,83,59.43,2018-11-30 08:01:59 ( Asia/Katmandu)
96,AQM Budhanilkantha,88,62.95,2018-11-30 07:51:59 ( Asia/Katmandu)
