S.N,Device,PM 2.5,Calibrated PM 2.5,Inserted Date
1,AQM Putalisadak,91,62.39,2018-11-30 23:54:43 ( Asia/Katmandu)
2,AQM Putalisadak,110,75.13,2018-11-30 23:44:44 ( Asia/Katmandu)
3,AQM Putalisadak,98,67.09,2018-11-30 23:34:45 ( Asia/Katmandu)
4,AQM Putalisadak,107,73.12,2018-11-30 23:24:44 ( Asia/Katmandu)
5,AQM Putalisadak,105,71.78,2018-11-30 23:14:47 ( Asia/Katmandu)
6,AQM Putalisadak,95,65.07,2018-11-30 23:04:41 ( Asia/Katmandu)
7,AQM Putalisadak,88,60.38,2018-11-30 22:54:41 ( Asia/Katmandu)
8,AQM Putalisadak,92,63.06,2018-11-30 22:44:44 ( Asia/Katmandu)
9,AQM Putalisadak,97,66.42,2018-11-30 22:34:40 ( Asia/Katmandu)
10,AQM Putalisadak,112,76.48,2018-11-30 22:25:13 ( Asia/Katmandu)
11,AQM Putalisadak,121,82.51,2018-11-30 22:15:08 ( Asia/Katmandu)
12,AQM Putalisadak,83,57.03,2018-11-30 22:03:40 ( Asia/Katmandu)
13,AQM Putalisadak,81,55.68,2018-11-30 21:54:37 ( Asia/Katmandu)
14,AQM Putalisadak,89,61.05,2018-11-30 21:44:37 ( Asia/Katmandu)
15,AQM Putalisadak,84,57.7,2018-11-30 21:35:39 ( Asia/Katmandu)
16,AQM Putalisadak,98,67.09,2018-11-30 21:24:38 ( Asia/Katmandu)
17,AQM Putalisadak,100,68.43,2018-11-30 21:15:06 ( Asia/Katmandu)
18,AQM Putalisadak,96,65.75,2018-11-30 21:05:15 ( Asia/Katmandu)
19,AQM Putalisadak,103,70.44,2018-11-30 20:54:06 ( Asia/Katmandu)
20,AQM Putalisadak,99,67.76,2018-11-30 20:45:09 ( Asia/Katmandu)
21,AQM Putalisadak,98,67.09,2018-11-30 20:34:59 ( Asia/Katmandu)
22,AQM Putalisadak,110,75.13,2018-11-30 20:24:38 ( Asia/Katmandu)
23,AQM Putalisadak,119,81.17,2018-11-30 20:15:09 ( Asia/Katmandu)
24,AQM Putalisadak,119,81.17,2018-11-30 20:04:59 ( Asia/Katmandu)
25,AQM Putalisadak,103,70.44,2018-11-30 19:55:16 ( Asia/Katmandu)
26,AQM Putalisadak,104,71.11,2018-11-30 19:42:42 ( Asia/Katmandu)
27,AQM Putalisadak,125,85.2,2018-11-30 19:34:38 ( Asia/Katmandu)
28,AQM Putalisadak,110,75.13,2018-11-30 19:22:46 ( Asia/Katmandu)
29,AQM Putalisadak,103,70.44,2018-11-30 19:14:25 ( Asia/Katmandu)
30,AQM Putalisadak,99,67.76,2018-11-30 19:04:44 ( Asia/Katmandu)
31,AQM Putalisadak,115,78.49,2018-11-30 18:54:30 ( Asia/Katmandu)
32,AQM Putalisadak,88,60.38,2018-11-30 18:44:24 ( Asia/Katmandu)
33,AQM Putalisadak,92,63.06,2018-11-30 18:32:19 ( Asia/Katmandu)
34,AQM Putalisadak,99,67.76,2018-11-30 18:25:05 ( Asia/Katmandu)
35,AQM Putalisadak,87,59.71,2018-11-30 18:15:07 ( Asia/Katmandu)
36,AQM Putalisadak,78,53.67,2018-11-30 18:05:07 ( Asia/Katmandu)
37,AQM Putalisadak,79,54.34,2018-11-30 17:54:45 ( Asia/Katmandu)
38,AQM Putalisadak,72,49.65,2018-11-30 17:45:20 ( Asia/Katmandu)
39,AQM Putalisadak,78,53.67,2018-11-30 17:35:03 ( Asia/Katmandu)
40,AQM Putalisadak,61,42.27,2018-11-30 17:15:01 ( Asia/Katmandu)
41,AQM Putalisadak,61,42.27,2018-11-30 16:52:23 ( Asia/Katmandu)
42,AQM Putalisadak,48,33.55,2018-11-30 16:44:59 ( Asia/Katmandu)
43,AQM Putalisadak,51,35.56,2018-11-30 16:35:27 ( Asia/Katmandu)
44,AQM Putalisadak,55,38.25,2018-11-30 16:24:11 ( Asia/Katmandu)
45,AQM Putalisadak,74,50.99,2018-11-30 16:14:55 ( Asia/Katmandu)
46,AQM Putalisadak,66,45.62,2018-11-30 16:04:55 ( Asia/Katmandu)
47,AQM Putalisadak,52,36.23,2018-11-30 15:50:52 ( Asia/Katmandu)
48,AQM Putalisadak,49,34.22,2018-11-30 15:45:00 ( Asia/Katmandu)
49,AQM Putalisadak,49,34.22,2018-11-30 15:34:41 ( Asia/Katmandu)
50,AQM Putalisadak,56,38.92,2018-11-30 15:24:38 ( Asia/Katmandu)
51,AQM Putalisadak,49,34.22,2018-11-30 15:14:38 ( Asia/Katmandu)
52,AQM Putalisadak,50,34.89,2018-11-30 15:04:38 ( Asia/Katmandu)
53,AQM Putalisadak,48,33.55,2018-11-30 14:54:53 ( Asia/Katmandu)
54,AQM Putalisadak,48,33.55,2018-11-30 14:45:11 ( Asia/Katmandu)
55,AQM Putalisadak,42,29.53,2018-11-30 14:35:09 ( Asia/Katmandu)
56,AQM Putalisadak,36,25.5,2018-11-30 14:24:38 ( Asia/Katmandu)
57,AQM Putalisadak,37,26.17,2018-11-30 14:14:41 ( Asia/Katmandu)
58,AQM Putalisadak,37,26.17,2018-11-30 14:04:38 ( Asia/Katmandu)
59,AQM Putalisadak,39,27.52,2018-11-30 13:55:38 ( Asia/Katmandu)
60,AQM Putalisadak,41,28.86,2018-11-30 13:45:10 ( Asia/Katmandu)
61,AQM Putalisadak,44,30.87,2018-11-30 13:35:08 ( Asia/Katmandu)
62,AQM Putalisadak,46,32.21,2018-11-30 13:25:00 ( Asia/Katmandu)
63,AQM Putalisadak,43,30.2,2018-11-30 13:14:56 ( Asia/Katmandu)
64,AQM Putalisadak,35,24.83,2018-11-30 13:04:56 ( Asia/Katmandu)
65,AQM Putalisadak,38,26.85,2018-11-30 12:54:57 ( Asia/Katmandu)
66,AQM Putalisadak,39,27.52,2018-11-30 12:44:55 ( Asia/Katmandu)
67,AQM Putalisadak,44,30.87,2018-11-30 12:34:50 ( Asia/Katmandu)
